Name,DateTime,AnimalType,AgeuponOutcome,Breed,Color,neutered/spayed,adopted
,4/15/2014 16:58:00,Dog,4 months,Jack Russell Terrier Mix,White/Brown,0,0
Jasper,10/26/2013 12:31:00,Dog,12 years,Australian Shepherd Mix,Black/Brown,1,0
Jingle,1/26/2014 16:41:00,Cat,1 year,Bengal Mix,Brown Tabby,1,1
Darling,3/14/2015 13:53:00,Dog,8 years,Jack Russell Terrier Mix,White/Brown,1,1
Violet,7/16/2014 18:46:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,1,1
Sandy,7/13/2014 14:26:00,Dog,1 month,Labrador Retriever/Blue Lacy,Tricolor,1,1
,10/9/2013 17:04:00,Cat,2 weeks,Domestic Shorthair Mix,Blue,0,0
,3/26/2014 13:23:00,Cat,2 days,Domestic Shorthair Mix,Blue/White,0,0
Joni,1/2/2015 17:39:00,Cat,4 months,Domestic Shorthair Mix,Black,1,1
Romulus,11/19/2015 18:02:00,Cat,2 months,Siamese Mix,Lilac Point,1,1
Georgia,4/14/2015 14:34:00,Dog,1 year,Rat Terrier Mix,Tricolor,1,1
Palomo,11/1/2015 17:26:00,Dog,1 year,Pit Bull Mix,White/Black,1,0
Coketa,2/19/2014 18:02:00,Dog,3 years,Bichon Frise Mix,White,1,0
,5/13/2014 15:19:00,Dog,4 weeks,Labrador Retriever,Black,0,0
Fiona,4/20/2014 17:19:00,Dog,4 years,Border Collie Mix,Black/White,1,1
Twila,2/11/2016 15:02:00,Cat,1 year,Domestic Shorthair Mix,Brown Tabby,1,0
,5/17/2015 0:00:00,Dog,5 months,Cairn Terrier Mix,Tan,0,0
Mako,11/24/2015 18:56:00,Dog,6 months,German Shepherd/Akita,Tricolor,1,1
Rocky,10/4/2014 16:24:00,Dog,10 months,Miniature Pinscher Mix,Black/Tan,1,0
Chikis,2/27/2014 18:25:00,Dog,3 years,Miniature Poodle Mix,White,1,0
Centurion,11/11/2014 17:34:00,Dog,2 years,Pit Bull/Blue Lacy,Black,1,0
Lady,8/30/2015 11:21:00,Dog,2 years,Labrador Retriever Mix,Black/White,1,0
Hershey,11/30/2013 16:29:00,Dog,11 months,Pointer Mix,Brown/White,1,1
Cinnamon,4/27/2014 12:40:00,Cat,4 weeks,Domestic Shorthair Mix,Brown Tabby,0,0
Smaug,7/4/2014 13:31:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,1,1
Jones,11/20/2014 12:33:00,Cat,2 months,Domestic Medium Hair Mix,Cream Tabby/White,1,0
Kozi,8/4/2014 12:52:00,Dog,5 years,Pit Bull Mix,White/Blue,1,0
Thunderkit,2/3/2014 15:23:00,Cat,8 years,Domestic Longhair Mix,Gray/White,1,1
Cricket,2/13/2016 10:15:00,Cat,1 year,Domestic Shorthair Mix,Brown Tabby,1,1
Prince,10/16/2015 12:14:00,Dog,5 years,Yorkshire Terrier/Miniature Poodle,Black,1,0
,5/5/2015 9:00:00,Cat,1 year,Domestic Shorthair Mix,Calico,0,0
Taz,1/10/2014 17:06:00,Dog,1 year,Pit Bull Mix,Brown Brindle/White,0,0
Smokey,6/21/2015 17:27:00,Cat,2 months,Domestic Medium Hair Mix,Blue Tabby/White,1,1
Lindsey,4/8/2014 15:30:00,Dog,4 years,Chihuahua Shorthair Mix,Black/White,1,0
Oxford,4/4/2015 15:26:00,Dog,2 years,Pointer/Collie Smooth,Tricolor,1,1
Miki,11/17/2015 19:14:00,Cat,2 years,Domestic Medium Hair Mix,Tortie,1,1
Dane,8/6/2015 14:54:00,Dog,3 months,Pit Bull Mix,White/Brown,1,1
Tim,1/13/2014 17:55:00,Cat,4 months,Domestic Shorthair Mix,Black/White,1,1
,5/24/2014 9:17:00,Cat,2 months,Domestic Shorthair Mix,Black/White,1,1
Elliot,10/17/2014 11:52:00,Dog,1 year,Miniature Poodle/Miniature Schnauzer,White,1,1
Alex,10/18/2013 12:31:00,Cat,1 month,Domestic Shorthair Mix,Orange Tabby,0,0
Bentley,1/8/2015 11:31:00,Dog,4 years,Yorkshire Terrier,White/Gray,1,0
Kobe,3/3/2014 14:00:00,Dog,2 years,Chihuahua Shorthair Mix,Black/Tan,1,0
Elia,10/18/2015 16:24:00,Cat,10 months,Domestic Medium Hair Mix,Black/White,1,1
,11/17/2014 14:15:00,Dog,10 years,Catahoula Mix,Blue Merle,0,0
Misty,9/30/2014 11:48:00,Dog,10 years,Border Collie Mix,Black/White,0,0
,11/15/2014 19:13:00,Dog,5 years,Chihuahua Shorthair Mix,Tan/White,1,1
Big Red,1/10/2016 13:28:00,Dog,3 years,American Staffordshire Terrier/Labrador Retriever,Tan/White,1,1
Pavel,8/7/2014 14:33:00,Cat,3 months,Domestic Shorthair Mix,Black,1,1
,9/4/2014 13:29:00,Cat,3 weeks,Domestic Shorthair Mix,Tortie,0,0
Hannah,5/9/2014 13:02:00,Dog,3 years,Manchester Terrier Mix,Black/Tan,1,0
,7/22/2014 11:30:00,Dog,3 weeks,Chihuahua Longhair Mix,Black/Brown,0,0
Dixie,11/9/2014 18:15:00,Dog,4 months,Chihuahua Shorthair Mix,Buff,1,1
Bo,5/21/2015 17:37:00,Dog,5 years,Pit Bull Mix,Blue,1,0
,9/25/2015 19:16:00,Cat,2 months,Domestic Shorthair Mix,Cream Tabby,1,1
Benji,2/22/2015 18:17:00,Dog,6 months,Rat Terrier/Cardigan Welsh Corgi,Black/Gray,1,1
Johnny,10/19/2013 17:04:00,Dog,2 months,Chihuahua Shorthair Mix,Brown/Black,1,1
,12/4/2013 12:43:00,Dog,2 years,Jack Russell Terrier/Dachshund,Black/Brown,1,0
Bambi,12/19/2015 16:11:00,Dog,5 years,Chihuahua Shorthair Mix,Tan,0,0
,11/9/2015 14:46:00,Dog,1 year,Miniature Pinscher Mix,Brown,0,0
Lucky,12/28/2013 15:26:00,Dog,2 years,Labrador Retriever Mix,Black/White,1,1
Lucky,12/19/2015 12:06:00,Dog,5 years,Dachshund Mix,Tan/White,1,1
,6/29/2015 16:37:00,Cat,1 week,Domestic Shorthair Mix,Orange Tabby,0,0
Sonny,1/15/2014 8:32:00,Cat,7 years,Domestic Medium Hair Mix,Black,1,1
Butter,11/17/2014 17:15:00,Cat,2 months,Domestic Shorthair Mix,Cream Tabby,1,1
Bonita,2/4/2014 18:39:00,Dog,2 months,Chihuahua Shorthair,Tan/White,1,1
Treasure,1/19/2014 16:47:00,Cat,3 months,Domestic Shorthair Mix,Torbie,1,1
Gigi,11/3/2013 12:50:00,Dog,4 years,Border Collie/Chow Chow,Black,1,1
Edward,6/5/2014 15:38:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby/White,1,1
,2/27/2015 9:00:00,Cat,1 year,Domestic Shorthair Mix,Brown Tabby/White,0,0
,3/16/2014 18:16:00,Cat,1 weeks,Domestic Shorthair Mix,Brown Tabby/White,0,0
Brimmer,5/31/2015 15:47:00,Dog,2 years,English Setter Mix,White/Brown,0,0
,12/1/2014 11:44:00,Dog,1 year,Miniature Poodle Mix,White,1,0
Sam,11/2/2015 18:28:00,Cat,2 months,Domestic Shorthair Mix,Black,1,1
Laramie,7/26/2015 17:30:00,Cat,1 month,Domestic Shorthair Mix,Black/White,1,1
Blondie,8/22/2014 12:29:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,1,1
,8/2/2014 9:00:00,Cat,3 months,Domestic Shorthair Mix,Brown Tabby,0,0
,8/3/2014 15:39:00,Dog,2 months,Chihuahua Shorthair Mix,Black,0,0
Lyle,10/14/2013 16:32:00,Dog,1 year,Dachshund Mix,Tan,1,0
Penny,1/20/2014 11:08:00,Dog,9 months,Pomeranian Mix,Cream,1,0
Valentine,9/9/2014 18:45:00,Dog,5 years,Pit Bull Mix,Brown/White,1,1
Buck,4/30/2015 16:08:00,Dog,10 months,Chihuahua Shorthair Mix,Black/White,1,1
Chuck,2/25/2014 14:12:00,Cat,5 years,Domestic Longhair Mix,Cream Tabby,1,0
Rhino,11/11/2013 11:48:00,Dog,1 year,Boxer/Pit Bull,White/Tan,1,0
Annie,4/20/2014 15:44:00,Cat,2 years,Domestic Shorthair Mix,Brown Tabby/White,1,1
Sally,10/1/2014 15:08:00,Dog,5 years,Labrador Retriever Mix,White,1,0
Stomper,9/3/2015 18:24:00,Dog,2 years,Basset Hound Mix,White/Tricolor,1,0
Silvercloud,3/10/2015 17:51:00,Dog,3 years,Pit Bull Mix,Blue/White,1,0
Riley,5/9/2014 12:44:00,Dog,2 months,Greater Swiss Mountain Dog Mix,Tricolor/White,0,1
Todd,12/24/2013 12:54:00,Cat,5 months,Domestic Shorthair Mix,Black,1,0
Rufus,3/11/2015 19:24:00,Dog,2 years,Labrador Retriever Mix,Chocolate/White,1,1
,6/29/2015 13:51:00,Cat,1 week,Domestic Shorthair Mix,Orange Tabby,0,0
Chief,3/14/2015 17:13:00,Dog,7 months,German Shepherd,Sable/Black,1,0
Dolly,1/11/2016 17:50:00,Cat,3 months,Domestic Shorthair Mix,Calico,1,1
Nana,7/1/2015 18:15:00,Dog,6 years,Chihuahua Shorthair Mix,Brown,1,1
Sofie,3/29/2014 16:12:00,Dog,4 years,Border Collie Mix,White/Black,1,1
Tabitha,1/18/2016 16:18:00,Cat,3 years,Domestic Shorthair Mix,Brown Tabby,1,1
Lil Bear,4/19/2015 12:22:00,Dog,1 year,Chihuahua Shorthair Mix,Brown/Tan,1,0
,7/7/2014 18:39:00,Dog,4 months,German Shepherd Mix,Chocolate/Tan,1,1
X,7/18/2014 15:46:00,Cat,5 years,Domestic Shorthair Mix,Torbie/White,0,0
,1/3/2016 16:44:00,Dog,1 month,Chihuahua Shorthair Mix,Brown/Black,0,0
,11/25/2015 20:20:00,Cat,2 years,Domestic Shorthair Mix,Tricolor,0,0
Charlotte,3/30/2014 12:28:00,Cat,1 year,Domestic Longhair Mix,Brown Tabby,1,1
,11/20/2015 12:30:00,Cat,4 months,Domestic Shorthair Mix,Torbie/White,1,1
Chico,12/21/2013 15:56:00,Dog,10 months,Chihuahua Shorthair Mix,Chocolate/White,1,0
Coco,5/30/2015 18:10:00,Dog,12 years,Labrador Retriever/Doberman Pinsch,Chocolate/Tan,1,0
,5/6/2015 16:31:00,Cat,2 weeks,Domestic Shorthair Mix,Brown Tabby,0,0
Charles,7/1/2015 11:21:00,Dog,6 years,Pit Bull Mix,Brown Brindle/White,1,0
Pequena,3/25/2014 12:41:00,Cat,4 years,Domestic Shorthair Mix,Torbie,1,0
Dax,9/9/2015 15:23:00,Dog,6 years,Dachshund/Bull Terrier,Brown,1,0
Kitty Kitty,5/5/2015 13:52:00,Cat,5 years,Domestic Shorthair Mix,Orange Tabby,1,0
,12/16/2015 19:40:00,Cat,4 months,Domestic Shorthair Mix,Brown Tabby,1,0
Ellie,12/7/2013 15:40:00,Dog,3 years,Australian Kelpie Mix,Black Brindle,1,1
Toffee,9/8/2015 16:12:00,Dog,2 years,German Shepherd Mix,Sable,1,1
,10/5/2013 12:36:00,Dog,15 years,Dachshund Mix,Brown,0,0
Sugar,11/16/2015 14:16:00,Cat,1 year,Siamese Mix,Tortie Point/Lynx Point,1,0
Rocky,8/1/2015 12:59:00,Cat,2 years,Domestic Shorthair,Orange Tabby/White,1,0
,10/1/2013 16:47:00,Cat,4 months,American Shorthair Mix,Black/White,0,0
,6/6/2014 14:39:00,Cat,1 weeks,Domestic Shorthair Mix,Calico,0,0
Bambi,8/20/2015 17:25:00,Dog,5 months,Pit Bull Mix,Fawn,1,1
